course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
298044	Accounting for everyone!	35	Paid	420	2	14	All Levels	0.15	1.0	11/19/2014
101234	The Smart Option Trader	45	Paid	412	19	74	All Levels	0.7	13.0	10/10/2013
815482	Stock Technical Analysis with Python	50	Paid	409	35	46	Beginner Level	0.65	8.0	4/12/2016
787508	How to Grow your Small Business and not run out of Cash	25	Paid	408	3	16	Beginner Level	0.24	1.5	4/5/2016
172898	Fundamental Financial Math	50	Paid	406	13	15	All Levels	0.94	2.5	3/4/2014
788720	Cost of Capital and Weighted Average Cost of Capital	0	Free	405	3	22	Beginner Level	0.93	1.0	4/11/2016
932274	The Ultimate Fibonacci Trading Plan for Forex and Stocks	200	Paid	399	15	15	All Levels	0.24	1.0	8/19/2016
576906	Technical Analysis Primer for trading Stocks, Bonds & Forex	50	Paid	397	4	36	Beginner Level	0.18	3.0	11/23/2015
180384	Yield Curve Dynamics	50	Paid	397	24	19	All Levels	0.68	3.0	3/12/2014
455120	Life Coach Business Basics: Finance and Operations	195	Paid	397	4	54	All Levels	0.51	3.5	8/27/2015
180360	Equity Swaps	50	Paid	394	25	18	All Levels	0.13	3.0	3/13/2014
1080466	Curso Completo de Bitcoin - Ganhe 0.00005 Bitcoin	30	Paid	394	109	73	Intermediate Level	0.35	5.5	2/6/2017
610812	Portfolio Management CFA L1 2016	20	Paid	393	5	34	Beginner Level	0.78	5.0	9/15/2015
72644	Complete Claritas Investment Certificate	50	Paid	388	56	35	All Levels	0.6	11.5	8/5/2013
578534	The Intelligent Investor	30	Paid	384	40	44	All Levels	0.77	10.5	8/27/2015
180372	Mortgage Backed Securities	50	Paid	376	29	21	Beginner Level	0.71	3.5	3/13/2014
1123226	MasterClass-Japanese & Heiken Ashi CandleStick Patterns	195	Paid	375	10	26	All Levels	0.64	3.5	3/12/2017
601912	TRADING: 5K CHALLENGE	55	Paid	375	10	19	Intermediate Level	0.93	1.0	9/12/2015
658766	Advanced Financial Management for CA / CS / CFA /CPA Exams	150	Paid	375	15	194	All Levels	0.91	24.5	11/3/2015
201942	Bitcoins - Past, Present, Future	20	Paid	373	3	14	Beginner Level	0.88	1.5	4/23/2014
1247394	Cryptocurrency Trading: Complete Guide To Trading Altcoins	95	Paid	367	42	35	Beginner Level	0.51	5.0	6/21/2017
100526	Winning Options Trading System	105	Paid	367	11	24	All Levels	0.15	7.5	10/9/2013
737832	Bitcoin Peer Investing: How To Generate Double Digit Returns	25	Paid	366	45	41	All Levels	0.6	2.5	1/24/2016
688244	How I Make Money Writing About Stocks Online	195	Paid	360	24	12	Beginner Level	0.33	2.5	12/18/2015
617976	Curso Completo del Mercado FOREX	200	Paid	359	86	50	All Levels	0.01	5.5	11/18/2015
645634	How to Build Profitable FOREX Automated Trading Strategies!	200	Paid	358	8	21	Beginner Level	0.11	2.5	11/11/2015
638966	188% Profit in 1Year - Forex ALGO Robot Trading no indicator	120	Paid	357	71	20	Beginner Level	0.88	2.0	5/3/2016
792216	Stock Technical Analysis with R	50	Paid	354	32	49	Beginner Level	0.71	7.0	3/18/2016
996612	High Probability Trading Across Any Market: Stocks & Forex	95	Paid	353	27	105	All Levels	0.54	18.5	12/1/2016
682514	Professional Forex strategy	50	Paid	353	21	17	All Levels	0.94	1.5	2/3/2016
312834	Professional Trading With Institutional Supply & Demand	200	Paid	343	84	37	All Levels	0.3	5.5	11/24/2014
1110470	The Passive Investing Blueprint - Build Wealth Passively	200	Paid	338	32	66	All Levels	0.74	3.5	3/8/2017
680046	Curso Completo de Opciones Binarias: Estrategias 90% Acierto	145	Paid	335	16	26	Intermediate Level	0.77	1.5	12/16/2015
679238	Day Trading - Learn to Day Trade / Swing Trade In One Hour.	95	Paid	335	25	29	Expert Level	0.68	1.5	11/27/2015
439210	Law Matters	20	Paid	327	1	12	Beginner Level	0.43	0.45	3/27/2015
767256	Mastering Technical Analysis : Maximizing Trading Profits	60	Paid	325	14	62	All Levels	0.15	5.0	3/4/2016
323828	An Introduction: MT4 Email, Sound, Notification Forex Alerts	20	Paid	323	30	11	Beginner Level	0.66	0.616666667	11/1/2014
975982	4 Easy Daily Forex Trades: A Recipe for Trading Success	200	Paid	319	19	12	All Levels	0.89	1.0	11/17/2016
667332	Robots de Forex: espere ganar 175%p.a! Incluye Robot de Fx!	130	Paid	315	49	41	Beginner Level	0.74	5.0	1/22/2016
576636	Build your own Naked Trading Forex Robot	40	Paid	315	28	19	Beginner Level	0.85	2.0	8/11/2015
885443	Investment Portfolio Analysis with R	50	Paid	314	38	37	All Levels	0.68	6.5	6/27/2016
542950	MQL4 Bootcamp Tutorial- Trading Robot Coding in Metatrader4	20	Paid	313	14	25	All Levels	0.16	1.0	7/5/2015
