course_id	course_title	price	free_or_paid	num_subscribers	num_reviews	num_lectures	level	Rating	content_duration	published_timestamp_date
1144288	Poldark TV series Soundtracks for Piano-Quicklessons	20	paid	8	1	9	All Levels	0	1	3/16/2017
838320	The Art of the Blues Shuffle - A Guitarist's Guide	20	paid	8	0	11	Beginner Level	0	1.5	6/26/2016
858064	Beginner Level Popular Piano Program - Month 1	30	paid	7	2	13	Intermediate Level	0	1	5/24/2016
387064	Guitarra para principiantes	20	paid	7	1	46	All Levels	0	2	1/22/2015
212520	Aprende a tocar ritmos latinos en el teclado	50	paid	7	0	31	All Levels	0	3.5	5/9/2014
212438	Aprende todos los secretos de la salsa para piano	50	paid	7	0	17	Beginner Level	0	3	5/9/2014
806640	Blues Master - Advanced Techniques Piano Course	75	paid	7	2	14	All Levels	0	1	3/29/2016
34332	Aprende a tocar la guitarra	50	paid	7	1	25	Intermediate Level	0	1.5	2/22/2013
1223570	Learn How To Play 25 Classic Hip Hop Songs Ch.2	25	paid	7	1	27	All Levels	0	3.5	5/23/2017
944550	Learn Piano Online-A Quiet Solace Piano Solo	50	paid	7	0	10	Intermediate Level	0	1	8/29/2016
339382	Guitar for Christmas!	20	paid	7	0	17	All Levels	0	0.533333333	11/30/2014
219756	Aprende a tocar flauta transversal sin complicaciones	50	paid	6	2	23	Beginner Level	0.34	3	5/19/2014
218596	Aprende a tocar la trompeta	50	paid	6	2	30	Beginner Level	0.96	3	5/19/2014
211026	Aprende a tocar Jazz y Ritmos Latinos en la guitarra	50	paid	6	0	17	Beginner Level	0.2	3	5/7/2014
594852	Getting Started with Power Chords	20	paid	6	0	27	All Levels	0.88	1	12/17/2015
1058262	Major Scales and Modes for Chromatic Harmonica	20	paid	6	1	14	All Levels	0.47	1.5	4/10/2017
552606	Beginner Guitar Essentials	95	paid	5	2	45	All Levels	0.34	4.5	8/6/2015
556076	How To Play Guitar - Everything You Need To Know To Start	50	paid	5	1	8	All Levels	0.6	1	7/21/2015
218856	Aprende a tocar la flauta dulce de forma sencilla y gradual	50	paid	5	0	23	All Levels	0.35	3	5/19/2014
765056	Guitar Fundamentals for Beginners	25	paid	5	1	11	All Levels	0.8	2	2/22/2016
214218	Aprende a tocar jazz, salsa y blues en el piano	20	paid	5	0	23	All Levels	0.31	3	5/19/2014
204014	Aprende a tocar el piano desde cero	50	paid	4	0	16	All Levels	0.44	4	4/30/2014
917176	Violin for Beginners	50	paid	4	0	18	All Levels	0.93	0.733333333	3/7/2017
1236576	Learn to play and improve 12 bar blues harmonica solos	40	paid	4	1	27	Intermediate Level	0.11	1	6/29/2017
806642	Blues Master - Professional Techniques Piano Course	75	paid	4	0	16	Beginner Level	0.3	1	3/29/2016
809492	Drumming 101: The Essential Elements	50	paid	4	0	17	All Levels	0.74	1.5	5/2/2017
212506	Ahora aprende a tocar jazz en el piano	30	paid	4	0	9	Beginner Level	0.88	1.5	5/9/2014
513528	Curso de guitarra para principiantes.	20	paid	4	0	7	Intermediate Level	0.92	1	6/11/2015
219844	Aprende a tocar el clarinete.	50	paid	4	0	26	All Levels	1	3	5/19/2014
219878	Aprende a tocar el contrabajo sin complicaciones	50	paid	3	1	20	Beginner Level	0.62	3	5/19/2014
545036	Saxophone Essentials: Beginners Course	40	paid	3	0	16	All Levels	0.34	1.5	4/26/2017
383852	88 Logic - The Essential Guide To Learning Piano	25	paid	3	0	5	Beginner Level	0.43	0.533333333	1/13/2015
388712	Learn To Play The Guitar In A Day	20	paid	3	1	14	All Levels	0.11	1	1/9/2015
632234	Guitar Chords and Basic Strumming	20	paid	3	0	35	Beginner Level	0.22	2.5	12/17/2015
785210	Flute Lessons For Beginners	95	paid	3	0	41	Beginner Level	0.27	2.5	3/9/2016
594854	Getting Started on the Acoustic Guitar	20	paid	3	0	28	All Levels	0.84	1	10/20/2015
963664	Learn Piano Online-Nocturnal Piano Solo	60	paid	2	0	11	Beginner Level	0.53	1.5	9/21/2016
1124590	Learn How To Play The Trumpet	75	paid	2	0	24	All Levels	0.51	1.5	6/19/2017
1195742	The Music Coach Online Spirit Drum Course	95	paid	2	0	86	Beginner Level	0.95	5.5	5/4/2017
834422	Curso de Teclado	40	paid	1	0	26	All Levels	0.96	1.5	5/16/2016
968026	Learn to Play Tabla - The Indian drums	0	free	1	0	20	All Levels	0.78	1.5	7/4/2017
730702	Ukulele 3:  Intermediate	25	paid	1	0	11	Intermediate Level	0.11	0.65	5/24/2017
939636	Coaching Bundle: Guitar for Music Educators: Part 2	135	paid	1	1	6	All Levels	0.24	0.5	9/2/2016
974704	Learn Piano Online-In the Garden Piano Solo	60	paid	1	0	11	All Levels	0.37	1	10/3/2016
944804	Coaching Bundle: Guitar for Music Educators: Part 1	135	paid	1	1	5	All Levels	0.04	0.5	9/1/2016
1261210	Suonare la Chitarra	200	paid	1	1	22	Beginner Level	0.15	1	6/21/2017
1232728	Learn Loreena McKennitt Songs-Quicklessons Piano Course	20	paid	1	0	6	Beginner Level	0.18	0.566666667	5/29/2017
1265814	ABRSM Grade III Piano Class - Handel Sonatina in G 2017-2018	20	paid	0	0	5	Beginner Level	0.34	0.516666667	7/6/2017
1272282	Learn Vikings Soundtracks on the Piano by Ear	20	paid	0	0	8	All Levels	0.63	0.583333333	6/29/2017
603902	Curso de Didgeridoo nivel principiante	50	paid	0	0	31	Beginner Level	0.66	1	4/11/2016
1026760	Coaching Course: Rhythm Instruction for Music Educators P1	130	paid	0	0	6	All Levels	0.66	0.533333333	3/10/2017
1214670	Tune that Sour Note on Your Piano	20	paid	0	0	6	Beginner Level	0.25	0.55	6/20/2017
993892	"Beginners Guitar Course - 'Try it and love it method"""	25	paid	0	0	16	All Levels	0.51	2	10/31/2016
1216340	Learn to Play Sweet Child of Mine	20	paid	0	0	23	All Levels	0.31	1.5	6/30/2017
1026762	Coaching Course: Rhythm Instruction for Music Educators P2	125	paid	0	0	7	Beginner Level	0.06	0.633333333	3/10/2017
1223240	Learn Pirates of the Caribbean by Ear on the Piano	20	paid	0	0	6	All Levels	0.08	0.533333333	5/22/2017
1224186	Learn to Play Piano Like a Pro - Easy Piano Course 1	35	paid	0	0	13	Beginner Level	0.78	0.516666667	5/30/2017
1234656	4 Week Rhythm Mastery	20	paid	0	0	28	All Levels	0.01	2.5	7/5/2017
