course_id,course_title,price,num_subscribers,num_reviews,num_lectures,level,Rating,content_duration,published_timestamp
1119092,"Learn guitar the Right way! Complete 'KickStarter course""",150,2102,33,99,Beginner Level,0.96,9,2/25/2017
961630,Beginner Guitar Quick-Start Course,0,2084,20,7,Beginner Level,0.03,1,9/28/2016
907966,Guitar: Learn 10 CCR Guitar Chord Progressions,50,2045,8,24,Beginner Level,0.36,2,8/25/2016
1123250,Master Class Piano Techniques: Tips To EZ Coordinate 2 Hands,95,2026,3,62,Beginner Level,0.2,2.5,3/9/2017
1122832,#6 Piano Hand Coordination: Play Open 10 Ballad to 9/4 Song,65,2015,3,21,Beginner Level,0.35,0.733333333,3/8/2017
1123184,#7 Piano Hand Coordination: Play Piano Runs in 3 Beats 9/4,65,2015,2,25,All Levels,0.95,1,3/8/2017
551170,Your First Course on Piano,70,2002,34,33,All Levels,0.38,4,7/16/2015
1111630,Learn to play the piano or keyboard from scratch,145,1987,11,161,Beginner Level,0.85,14,5/31/2017
646906,Playing Piano:  Play Chords and Popular Pieces Vol.I,100,1987,7,43,All Levels,0.83,3,2/1/2016
778682,Gitarre spielen wie die Profis,20,1981,28,38,All Levels,0.94,2,3/21/2016
353224,The Best Beginner Guitar Course Ever,50,1976,252,16,Beginner Level,0.76,1,11/25/2014
17922,Play Ukulele Now,30,1951,88,78,Expert Level,0.8,5,6/2/2012
829616,Aprendiendo Piano: Ejercicios de calentamiento,0,1876,109,11,Beginner Level,0.11,0.55,4/27/2016
132570,Basic Piano Hymn Playing,20,1842,21,28,All Levels,0.12,1.5,12/12/2013
260900,Quick & Easy Piano Chords: Play more songs with more chords,55,1818,4,90,Beginner Level,0.52,2.5,7/17/2014
777650,Drumming for Beginners - Simple Way To Learn How To Drum,20,1814,28,22,Beginner Level,0.11,2,3/2/2016
658816,Learn How to Improvise on Guitar in 30 Days,200,1788,89,33,All Levels,0.47,6,10/25/2016
637842,Playing Piano : Reading and Playing Classical Tunes Vol.I,50,1732,6,34,Beginner Level,0.88,2,10/16/2015
326428,Learn Piano Scales: Play any song in any key! Like Pro's do,50,1720,9,26,Beginner Level,0.07,2.5,10/29/2014
993510,Piano Technique Exercises Vol.1,50,1674,4,24,Intermediate Level,0.81,1,1/25/2017
888698,Piano Playing: Reading and Playing Classical Tunes Vol.II,40,1638,3,17,Intermediate Level,0.94,1.5,6/28/2016
670376,Piano Tutorial : Ludovico Einaudi - Una Mattina,0,1631,23,6,All Levels,0.26,0.733333333,11/23/2015
1217408,Drums for Beginners,0,1618,4,15,All Levels,0.55,3,6/19/2017
396238,"Learn BASS GUITAR- Have Fun, Amaze Your Friends- It's Easy! ",100,1605,19,52,All Levels,0.96,2,2/13/2015
1010274,Drumming Accelerator: How To Get The Best Start Possible,200,1594,4,34,Beginner Level,0.11,1.5,4/18/2017
1170074,#10 Hand Coordination - Transfer Chord Ballad 9 - C & Bb Key,75,1593,1,41,Beginner Level,0.47,1,4/12/2017
195576,Learn To Play The Drums Without A Drum Kit,25,1589,52,39,All Levels,0.89,2,6/27/2014
242382,Learn Beethoven's Fur Elise on Piano,20,1582,11,6,All Levels,0.1,0.483333333,6/13/2014
515262,Guitar: Learn 12 Must Know Beginner Rock Guitar Riffs,50,1548,10,20,Beginner Level,0.28,2,9/24/2015
995562,Play Piano 1 Master Class Intro:  Standards 2-5 Power Chords,50,1541,14,42,All Levels,0.89,1,10/29/2016
464844,Discover Classical Guitar Level 1,25,1513,38,19,Beginner Level,0.88,1.5,6/21/2015
104304,"Learn To Play The Piano Using Pop, R&B and Gospel Chords",50,1504,15,14,All Levels,0.71,0.683333333,10/15/2013
971962,Learn Guitar: Zero to Guitar Fingerpicking in 30 days,50,1495,26,36,All Levels,0.78,2.5,12/28/2016
631416,Learn Fun Dreamy Piano Techniques #1 -  Play White Christmas,80,1474,10,102,Beginner Level,0.43,2,10/20/2015
801486,Playing Piano:  Popular Pieces Vol. II,150,1472,4,24,Beginner Level,0.3,1.5,3/31/2016
917432,The Professional Bass Masterclass,200,1449,136,88,All Levels,0.68,7,10/24/2016
372416,"Piano: Learn 48 chords in 1 hour,  and always remember how",120,1424,71,16,All Levels,0.48,1.5,12/28/2014
1041176,Fun Beginner Ukulele Course,55,1409,41,17,Intermediate Level,0.69,1.5,12/21/2016
384928,101 Blues riffs - learn how the harmonica superstars do it,200,1350,65,55,All Levels,0.55,6.5,1/4/2015
710420,Step by Step Tabla Course- Indian Drums,20,1337,17,21,All Levels,0.4,1,1/18/2016
640496,Teaching Music : Start teaching an instrument successfully.,30,1337,5,18,All Levels,0.55,1.5,10/16/2015
902474,CAGED Pentatonic System for Guitar - Level 1,45,1329,52,35,Beginner Level,0.96,1.5,7/28/2016
455054,Ninja Chord Changes - Master your guitar chord changes,30,1327,11,13,Intermediate Level,0.96,1.5,3/29/2015
830568,5 Exotic Guitar Scales and How to Use Them Effectively,50,1319,101,21,All Levels,0.15,1,8/9/2016
535650,Accelerate Your Guitar Learning With Metal Techniques,20,1305,25,68,Beginner Level,0.32,6.5,8/18/2015
101498,Blues Guitar Lessons - From Texas To Carolina,20,1297,12,9,Beginner Level,0.99,2.5,10/13/2013
648628,Learn Fun Dreamy Piano Techniques # 2 - Play Silver Bells,80,1284,6,99,Beginner Level,0.96,2,10/26/2015
112314,Acoustic Blues Guitar Lessons,125,1284,136,40,All Levels,0.78,12.5,11/28/2013
606494,The 80/20 Beginner Guitar Course,50,1269,27,51,All Levels,0.88,3,4/28/2016
660460,Piano for Complete Beginners: Learn your first song today!,40,1268,10,30,Beginner Level,0.75,1,11/10/2015
1009802,Play Piano 8 - Play Over the Rainbow by Ear & Free Improvise,50,1249,6,69,All Levels,0.34,1.5,11/14/2016
27681,Piano Improvisation from Day One,20,1249,37,21,Beginner Level,0.19,3,3/1/2013
42251,Blues and Advanced Guitar Lessons,85,1235,46,131,Beginner Level,0.01,7.5,6/10/2013
692658,Easy to play Christmas Songs for Guitar,100,1229,8,11,Intermediate Level,0.15,0.5,12/12/2015
993134,Learn Piano #10 Tritone Chord Substitution with Jazzy Sounds,60,1227,2,26,Beginner Level,0.57,0.633333333,10/25/2016
550842,16 Guitar Chords to Jam With - (Beginner - Intermediate),20,1224,19,20,All Levels,0.34,1,7/10/2015
902476,CAGED Pentatonic System for Guitar - Level 3,45,1224,17,32,Intermediate Level,0.72,1.5,9/28/2016
920194,CAGED Pentatonic System for Guitar - Level 2,45,1220,13,26,Beginner Level,0.34,1.5,8/26/2016
174562,Learn to Play Saxophone: Beginner to Pro in Under Four Hours,50,1213,158,77,Beginner Level,0.55,5,3/3/2014
997470,"Play Piano 2:  Play 'Love Me Tender By Ear with 2-5 Chords""",50,1204,8,56,Beginner Level,0.78,1.5,10/30/2016
515260,Guitar: Master The Guitar Fretboard In 6 Easy Steps,55,1203,26,10,All Levels,0.76,1,10/12/2015
972704,How to play Contemporary Piano,25,1200,35,10,Beginner Level,0.26,0.6,10/4/2016
40495,World's Fastest Piano Method - The Piano Revolution!,95,1199,58,31,Intermediate Level,0.33,2,2/18/2013
1033670,Beginner's Guitar Lessons - Crash Course for Busy Adults,50,1194,9,29,All Levels,0.53,2,5/2/2017
647336,Country Guitar Fundamentals,50,1174,39,23,Beginner Level,0.68,1.5,12/23/2016
149728,Learn Jazz Piano Today,50,1167,66,44,All Levels,0.25,3,1/24/2014
1048188,Modern Country Guitar: Technique Booster,30,1152,16,42,Beginner Level,0.35,2.5,1/26/2017
392958,Learn To Play The Drums,25,1141,88,74,Beginner Level,0.3,8.5,5/28/2015
356060,Learn Piano #8:  Use Augmented Chord Sub & Whole Tone Scales,60,1137,4,45,Beginner Level,0.34,1,2/23/2016
829962,Darbuka Drumming: Learn how to play the Darbuka Dounbek,0,1094,45,11,All Levels,0.2,1,4/23/2016
413182,Play By Ear #4: Play Song By Ear with 3 Chords Using Any Key,95,1064,11,110,Intermediate Level,0.96,2.5,2/7/2015
672894,Christmas Piano Songs For The Very Beginner Vol. I,40,1060,3,15,Intermediate Level,0.2,1.5,11/22/2015
783292,Guitar Chord Riot! Learn to Play Guitar Like a Guitar Jedi,75,1052,6,43,All Levels,0.07,0.5,3/11/2016
837722,Modal Theory for Guitar (Guitar Lessons from Lutz Academy),50,1039,29,9,All Levels,0.07,1.5,5/6/2016
1051856,Classical Guitar Essentials - The Basics Part 2,95,1030,1,44,Intermediate Level,0.47,4.5,3/3/2017
670640,31 Day Guitar Challenge,40,1029,22,32,Intermediate Level,0.09,3.5,11/30/2015
517366,Guitar for Beginners - Learn the Basics,20,1026,13,19,All Levels,0.78,0.516666667,6/12/2015
552700,Your Second Course on Piano: Two Handed Playing,70,1018,12,22,All Levels,0.84,5,10/26/2015
998100,Play Piano 4: Improvise on popular song Yesterday chords,50,1018,4,63,All Levels,0.14,1.5,10/30/2016
1034080,The Circle of Fifths for Guitarists,50,1018,2,5,Beginner Level,0.14,1.5,12/15/2016
566856,Learn Monster GODJ,0,991,29,12,Beginner Level,0.44,1,7/29/2015
344234,Learn Piano #7- Learn Chromatic Chords & Chromatic Scale Run,60,973,8,74,Intermediate Level,0.83,2,2/1/2016
787686,Bluegrass Guitar Essentials: Webisodes 1 & 2,0,970,14,9,Beginner Level,0.96,1,3/20/2016
1240148,Learn all Piano Chords in all Piano Scales with logic,45,969,2,17,All Levels,0.29,1,6/4/2017
